類型,競賽名稱,作品名稱,名次/獲得獎項,時間
競賽,第六屆技職校院大手攜小手智慧創新應用競賽,智慧實作助手-具智慧的即時行為與體徵偵測系統,佳作,2025年12月7日
競賽,2025 捷運盃黑客松-尋找黑捷克競賽,設計創新。AI賦能 App競賽,亞軍獎,2025年8月30日
競賽,7th Green Idea Invention and Design Fair,SmartCube Multidimensional Parking System,鈦金獎,2025年8月1-2日
競賽,2024波蘭華沙國際發明展,防止充電線脫落的充電樁外框,金牌獎,2025年3月19日
競賽,2024波蘭華沙國際發明展,人工智能車輛導引停駐系統,金牌獎,2025年3月19日
競賽,The 12th Indonesia Inventors Day,Charging station that can display image information,金牌,2025年9月11-14日
競賽,2024 Kaohsiung International Invention & Design EXPO,Vehicle arrival reminder system,金牌獎,2024年12月5-7日
競賽,ХХѴІІІ Московский международный Салон изобретений и инновационных технологий «АРХИМЕД 2025»,Charging station with display,金牌獎,2025年3月18-20日
競賽,ХХѴІІІ Московский международный Салон изобретений и инновационных технологий «АРХИМЕД 2025»,Face recognition system,金牌獎,2025年3月18-20日
競賽,2025 E化系統創意應用競賽,基於骨架物件辨識的多使用者即時於英文拼字翻譯的手語系統,第二名,2025年3月15日
競賽,2025 E化系統創意應用競賽,結合深度學習與即時電腦視覺於高級工場安全智慧化系統,優選,2025年3月15日
論文發表,IEEE ICCBE 2025,Vision-based Real-time Sign Spelling System for Cross-lingual Translation using Neural Models,口頭發表,2025年6月27-29日
論文發表,第二十九屆行動計算研討會(MC2025) / 第二十屆無線、隨意及感測網路研討會(WASN 2025),植基於多模態視覺感知網路於即時語意建構之手語轉譯研究,發表證明,2025年8月25日
論文獲獎,IEEE ICCBE 2025,Vision-based Real-time Sign Spelling System for Cross-lingual Translation using Neural Models,BEST CONFERENCE PAPER AWARD,2025年6月27-29日
論文獲獎,第二十九屆行動計算研討會(MC2025) / 第二十屆無線、隨意及感測網路研討會(WASN 2025),植基於多模態視覺感知網路於即時語意建構之手語轉譯研究,佳作學生論文獎,2025年8月25日